,activity,predicted,predicted2
567e0a3c2ddc6b2e66ee1258bfb7dd3b9ce1bbb6,"Fix for adding models with custom set methods to collections, issue #539",Core,src
b6ab27adc8b0726bd571c62d8fcf96e0399bb81e,point to CoffeeScript.org for installation instructions,Core,src
68220af813fb904e71557d2ced8e09531df6b043,Tweak View#el docs further.,Docs,doc
872607ded4461aa6b82a81d806c8b5c118baf77a,Ignore other unecessary bower files,Core,src
8da1ff0a9d35ee25311ad7f9d52c6ef62c1e336e,Merge branch 'master' of github.com,Docs,doc
d1b4779741547b0020fde44fbed3e9e0e74b8308,Merge pull request #3632 from jridgewell/view-style,Core,src
76bc9faf45e2617a95876c832fc562a84d9ff11d,Fix #1494 - Clarify documentation for `off`.,Docs,doc
a173ebfe201c805aa50be58d899311441cb93f38,Merge pull request #2655 from eastbayjake/master,Core,src
02d42348b755303e2555a71b0b31fd6b5e5fae9a,Add Events#oneTimeListenTo,Core,src
5ef230402b171cf9171f39fdf1f81c92d1be2cb3,Merge pull request #3606 from ogonkov/patch-1,Core,src
6d07d2f0e2a1e93c4c79bf50e0ca5e627f0ffd87,multiple models with the same ID should be allowed in a collection.,Core,src
4e8caf447120a951d389eaa373217cdc3a270325,no need for repeated comment on `remove`,Core,src
9e8fca063e1516dcb077745b72994d9c953ee53b,Merge branch 'master' of https,Core,src
084e0288e75af984e5462829266749857918d58e,add support and tests for ender jeesh,Tests,test
a1dea84b34edfef022d42ed1ab4b25c5210ea0fc,touch scrolling the sidebar for ios,Core,src
bf1ffbeb67b8f43a89eb558e376b3161173c2d1e,nice refactor. removed _add and _remove and moved 'em in to the public API.,Core,src
632a2b3b67739937cdf7538cb5dfc86e935a8d52,Use defaults in #isValid,Core,src
d0e27756f287e97c4b99d34a4151a4d913091789,Attributes should remain a safe copy.,Core,src
59850645e699cff2e3c20e38cbeef72e6445f070,Only sort on `add` when it make sense,Core,tools
3ae1af6df1b542bfb3e38f2fdfe7a471f2b830a0,Merge pull request #1461 from braddunbar/view-dispose,Core,src
08a486cb8aa43c061b8bc1cbeec79176a729acf0,Merge pull request #3843 from jridgewell/defaults-prototype-collision,Core,src
dbf8d978b0cde1eb8c9a98452cd85185c927f446,Explicitly specified return value for findWhere if no model matches. (#4020),Core,src
0151ae093c235a18326343c7bcbac7ce23d63221,Merge pull request #3910 from captbaritone/eslint-9,Core,src
68292f8c78df52b9d8e5a5a3137bbefecca69a45,Merge pull request #3626 from jridgewell/model-changedAttributes-style,Core,src
6d880672d11b484793ae3779445400e45dcc5150,Merge pull request #1493 from braddunbar/consistency,Core,src
8b28f31e9542b2dbbf6aa6126dc1c87fd4cabc07,Merge pull request #3523 from braddunbar/test-scripts,Tests,test
de44d9ec349904e867104b5e39e939e0ef4740bc,Update to Zepto 0.2,Core,src
65952402687569aaf28abab305a14680f1f48f16,Merge pull request #3978 from jridgewell/1.3.2-rc,Core,src
9c297ed6092e75da862f95052b7a7464b9ce5e4a,Test that `listenToOnce` is only called once,Core,tools
0e7ac5a619a3b59d0cd3eab1e6640518ab385da0,Fix #2438 - Indicate shallow copying.,Core,src
d202999c929e89274eac3ae625c6b62b4df7cd8d,Merge pull request #3867 from jdalton/coerce,Core,src
c5c4d272921e4a50589905f3687ecf224c53a4e8,Merge pull request #3449 from braddunbar/split-events,Core,src
54a4c17343ab0f3cb72e4e13aa15ec4c4f5b65b4,Merge pull request #3407 from brianjscoles/master,Core,src
53f77901a4ea9c7cf75d3db93ddddf491998d90f,Backbone 1.1.2,Core,src
c9a634982a8314e2df5ef2a6d7eded0a66d600ac,Upgrade tests to Zepto 0.5,Tests,test
90cb5662509518746e8e298d58bbddfb9c04dffe,Pass added and removed models to collection update events,Core,src
a73909804904bbcdd027a78892ba133f9dbc2d22,Merge pull request #879 from braddunbar/set,Core,src
4e02c9ad090f1006f3c42bed2b71e02dd27a8b1e,Merge pull request #3234 from go-oleg/master,Docs,doc
7f682a5685cb669d4ac6e90e6a51ded1533c3e09,Put localStorage up to date,Core,src
e63fdc645644a6df6438c8dd7a933a1e06986341,bumping up the size of the section headers...,Core,src
bde634fd6dd0d0382c13aca618869c0172fc4dde,Merge pull request #5 from wyuenho/view-native-hooks,Core,src
f14198433341f025c47300e234db1fbb39fa5228,Merge branch 'master' of github.com,Docs,doc
6e99a2c3b022e40e4bf4431453d6878a6e976b8e,fixing minor inconsistency in docs,Docs,doc
85d58a1f7241b521f052524346df511a13a67306,Merge pull request #1371 from braddunbar/emulate-options,Core,src
6d0a7fd45bc7a4b16b048a2c26126faea1c50d05,Merge pull request #1596 from fancyoung/patch-1.,Core,src
356664a7357ddb9b4cfcda40e37918d21c0b0dd3,Backbone.js 0.3.2,Core,src
f60e4854e03e0b25e4b639d48c59eb1ab6688f5a,Merge pull request #1199 from mostly-magic/master,Core,src
7fcba24db893511a181ae3c166a78e3c392622ee,Merge pull request #1284 from lifesinger/master,Core,src
7e363dfc8f4950ee2aab1b5c5aeed18dedc67aae,Rails include_root_in_json tips.,Core,src
282ba68857a6959fdef6a0e2b1f5336cc94dacdd,Clarification on the use of model.id,Core,src
6916d67c4e332cdf34b75fb63168017daee79295,Remove superfluous sentence.,Core,src
4b6ad311bdb25f188f803e2c2b2b0f3ea24b3fd5,Document using [] for empty Collections with options,Docs,doc
9b70a2812a9aea4abbaa7b9740216b52ad473751,Merge pull request #3495 from jmm/jmm/collection-remove,Docs,doc
af5e8f5c72b5202f79d43415e553403a4195f7e1,Fix #1433 - Do not save invalid models.,Core,src
829b2c778d17dfa51cf72030fdbde508a2d7abbd,Merge branch 'master' of github.com,Docs,doc
bd0fbdea4de5d72821a1c7e84b084cdcc8d12055,Merge pull request #3553 from megawac/extend-create,Core,src
3761d281883ed52b309557a1de5a98b49d81ae9b,fixes #972 by cleaning up a messy conditional,Core,src
a1b7ac32eb10664e09fe663d66f3e9ab643b8cb7,Adding the isEmpty function into the modelMethods,Core,src
dbdd49d27d9b586d6290cb1d7f8382993de2e52b,Merge pull request #1154 from tombell/patch-1,Core,src
b785a593eb42b479c48c1817ef451904ec93f2cf,Remove shadowed `clear` function from todo models.,Core,src
4f9cf93c21ab56c03179c1d55bbda4f31481ecaa,"adding foursquare as an example app, plus new logo",Core,src
5886fe4051df366e1e15971fc8df817c57014926,Issue #134. json2.js source link.,Core,src
e08e19583016100d0aabfa8889fee9a70a1b5b57,Merge pull request #3818 from captbaritone/collection-initialize-null-models,Docs,doc
fbbb2e675e594f023ca17cf3708bfb07601e8ff2,"Fixes #1843 -- reworks parsing behavior. It now always applies if you define it, and no longer passes xhr. (parsing should be a pure function of the data)",Core,src
0c08ab8185749bb0ddec4dbafc26db15b4f87457,bail immediately if !this._changed,Core,src
89e7e6767f006fc214487def7a0c286ed44c2090,Added Backbone.Collection.toJSON. Returns array of model's toJSON,Core,src
5310996d09a8b5772e0a0810a327575f02d3a42a,Test for unset attributes not being returned by changedAttributes,Tests,test
1473a3e3c55e177326969104befab3a534c03a7b,Update underscore dependency.,Core,src
3dbf6dbf391c82555416081913257a2b8250eb75,Merge pull request #1969 from caseywebdev/master,Core,src
b1ac2e451595f071c9a8551a3226d6ac7e7cd305,Merge pull request #4018 from emileber/mdn-link-fix,Core,src
