,activity,predicted,predicted2
c330c3a4a8b14a525ae2bd57a00ea1e1e305cb2d,Added guards checking to namespaces. Issue #1418.,Core,src
8437d0766d40af226c3f3e5dd6eb35ba5482c870,remove short lived `@import-once`  in favour of `@import` (default is once) and `@import (multiple)` for multiple,Core,src
c730829d1d609f250b522775fa1745537f6b77a4,"Fix one issue with media queries and detached rulesets, one to go",Core,src
fb81856a6156305b16ab8adb2062af330020c343,tests – update tests to reflect changes,Tests,test
ee9eefd94f47e037231392d5ee66edd0f77af8de,Fix some more browser tests,Core,test
ccfd4e209d8ffd8c414674b3c539741950713c2e,Merge branch 'master' of https,Core,src
663868f18c157b47b13aac2906adddc50b2a3c23,fix error reporting with no stack,Core,src
70d610f87749589092c3f2f436c0483d9228a93a,support https and 301 redirects in imports. fixes #1103,Core,src
8284ce5fe052a67a7f52739bfda1a63823a00889,Added CSS3 specific relative length units,Core,src
87e209ed8a739ecdf94f1fd15a8667e5e8fb184d,"less.js now works in firefox, safari and chrome",Core,src
8727d7281168afa41c1f376fa45c7bed9cb4c3d7,Remove ipad sauce test since it often fails,Core,test
73f3fc4468808daa81e09b067047c5b150b83abb,typo fixes,Core,src
223ce7332483c85e17c36727c5bf15182149bdad,Update license year in README.md,Core,src
4972d476a4dae0dee92c13161b7b0bb3406671eb,Merge pull request #2423 from SomMeri/extend-on-parent-selector-v1-2206,Core,src
edca7f4cfa97c81e5664ec8ea13a904c9bdf469c,2.3.1 release,Core,src
fa035ad5e951eab2350e7aa3d9fdabb51f891277,Merge branch 'patch-7' of https,Core,src
1b204fe230fbd1791d6a11a23e2afaa9cc3d2c78,Merge pull request #2117 from SomMeri/import-charset-ordering-2013-1954,Core,src
9de877523b65fd5a77e6ef373821ee79bc4d1233,Merge pull request #2517 from seven-phases-max/fix-naked-url-import,Core,src
74766691cc20b028892155ed2c879e9693540def,Support for /deep/ selector. Fixes #2023,Core,src
13635e746222e5d7a438ce2727efc8488011bedf,ability to insert uppercase color names,Core,src
ce4a7bc0e9468f9cda0b9f8f2132475111f6165b,Undefined source map should result in an empty map file. #2430,Core,src
eff69f5b77575dcd3fe8605c4575d67162e1df0c,bug,Core,src
2ff9ae521e85cc67db16e08a903230749c9f76b6,Allow circular references and ignore them when they become circular,Core,src
c17d939ea705ed9eeab6114963d0ac2c689f24da,Allow multiple extends for more declarative multiple inheritance,Core,src
e0dff5308c33e53a6d7e962018bd071ebf5627ab,"Bubble import only above other non comment, non charset rules. Fixes #2440",Core,src
aaedf965646fdc002d16efed36388e014abfd90a,Add an --include-path option to lessc.,Core,src
29eb4263fe63cc47961ea7dd6fa2ef8d30d02c6a,support safari extension. Fixes #2358,Core,src
aab9c1b24ff26ff1c2438a387f2503a7dd639033,Fix jshint errors after merge and add jshint to makefile,Core,src
7f5cf067d2390eae5c723c742380419947b979bc,Merge pull request #347 from idris/patch-1,Core,src
cf5d3050eaaaa7a9e62e56cb0a38980999bfadaf,Merge pull request #496 from wfreeman/master,Build,build
68bf9db89fe6c789fa17c01e530fe7615471176b,Remove copyright from licence so we only have one,Core,tools
6705f8e50172b3168ffe036d53ad3c4fbb45d66f,"cleanup browser.js, make ajax synch by default, with option to turn off",Core,src
b5d8c958d066e56b8ba7e5a59f71053dc11794a6,Merge branch 'master' of https,Core,src
ddf1a45e5eb572d72255acfe36cd8b03ec0d3141,continue moving node functionality into the environment interface. function names need making consistent etc.,Core,src
a4d4d55693b205ffc4ab4f025508e503bf6a9e97,Evaluate function calls properly.,Tests,test
290d7a055cc0f7f4ac277a675d375299f3028371,organise the import node a bit better. eval the node before fetching,Core,src
3945027c5218ad357f5f1699fc3b3dfb038d6a20,Merge branch 'master' of https,Core,src
bf952c1ef15f45b7b42de6318e5db164d691175f,Merge pull request #1866 from seven-phases-max/fix-1852,Core,src
a78f358d6638c15d1f0907958ad20d6ba439f215,Merge pull request #1537 from radium-v/patch-1,Core,src
7726f9849386ad3c3914df691c53aa01a1beca05,"improve error reporting, provide a one line call-stack",Core,src
b2b8043cc97addcc0d12dfb91e25e7056d00ed30,2.2.0 Release,Core,src
10586f0a92dfa723def0e5dfb9ef1a2832c634bd,make node available in tree,Core,src
3b94d516922b18244e592fa9548d49ae51ebaf77,(doc) removed old comment which doesn't apply,Docs,doc
