,activity,predicted,predicted2
341af4cf2b8d9488e85ee4d2e92ff59db6be24d4,[closebrackets addon] Simplify backspace-handling code,Core,src
7f82421f694e680fda16c05bfbd9c061382949ba,[xml mode] Fix value-less attributes,Core,src
255d019adb8a62eaad6740a6d81b6e4f80f891f0,[real-world uses] Add alm.tools,Core,src
03449c69ffebdac0648a3f4d347cddd365522572,[markdown mode] Fix bug with two links or email addresses on same line.,Core,src
c355154da090b2eaaaf3a5226df17aa9d228a0c7,Work around webkit bugs related to super-long lines,Core,src
0dc2189b43433e64799731c3265d49879263430a,"Make inputStyle an option, move relevant logic into TextareaInput",Core,src
60ef248a7739be24a118ece6e439a6e39c76a2b2,Don't immediately focus on click in IE,Core,src
022bcc7b70bf6e4b71e9643bacfdf2edaed8d297,Add kl1p to real-world uses,Core,src
ef690441922a5ebf3e1e680e1e39011fe2ccaae7,[markdown mode] Don't call tokenizer of code-block mode at end of line,Core,src
9673a43df6968437dc2002e0405705f48608c87c,Make output of getHistory JSON-serializable again,Core,src
225bd97de2088c133f3b626a9aa0ca81884e6ff7,[javascript mode] Properly recognize 'as' in import specs,Core,src
51a1e7da60a99e019f026a118dc7c98c2b1f9d62,Reposition hidden textarea to work around Chrome IME issue,Core,src
91b572ef96ecf074eb82164b2011ff359589c872,Mention dependency on searchcursor.js in search demo page,Core,src
0454225bb0af4290baf9a679a71595d354894962,[rust mode] Handle alt patterns better,Core,src
bbf49b15219bbcc199bf2116ec76b845b2e0a57a,[php mode] Add a few more atom keywords,Core,src
162c6073e60fcc6635ba31e8ed7a0d35da68a5e0,[verilog mode] Addressed indentation issue,Core,src
7218f45a32d9c2641ea422e41c2e3c64eed8bb7d,[themes] Update existing activeline rules to use correct class,Core,src
6e3f4b7468ec943ea28bf2bcf085c2512f5aac6a,A few more tweaks for iOS compatibility,Core,src
3d1a0564a16e2bd9b625e3a82f4a8f6815fa7b24,[ruby] Add `until` to indentWords list,Core,src
0a96f6db65dd710ff8964e2d5759cb80138387a7,More fiddling with editable markers,Core,src
63f762bfd35cb3ee6c622fb100392b494f6cbcda,[markdown mode] Don't allow backslash-escaping in code fragments,Core,src
0aeaa3c575e010e1c4045633862c948eeebeecc2,Un-break extra highlighted spaces at the end of selected lines,Core,src
91e02be407d8ccff5928d2b9ad4f590b803ca321,Work around Webkit bug where sometimes the sizer gets the wrong width,Core,src
dac3b43f7b85163a5b428ddb77405860a08d51f8,[lint addons] Don't error on missing dependencies,Core,src
93de4a882a5475159f61362cafefd3892e3f6453,Add RPM changes and spec file modes with appropriate mimetypes.,Core,src
0ee523d47a6cb9b8f4be16425383435c0fb9745b,Stop 'phantom' after-the-fact drag starts in IE10,Core,src
36c356cc6166775cbc89756165465172ee423228,Remove trailing whitespace,Core,src
d1942cc0ab010c34f683fd14c193418646fdedbc,Add npm module badge,Core,src
d07f7a9c8340a9e2a4943e947fb483733c90c87b,M-x delete-trailing-whitespace (lib/codemirror.js),Core,src
8d1937488cf0bdf1aad1decde088c292b5249141,Link Java and Scala separately from other C-like languages in mode list,Core,src
0d8a43a05e331c1cb1881e8f11b970141fde23dd,"[markdown mode] Directly use xml mode, rather than relying on text/html binding",Core,src
6aff0a6bdd07f3a8dd387b65fadb8682a29d9f14,"Fix charWidth to give accurate, fractional result",Core,src
e2962a5b0df56c8ee5a4482899d308decf3d7677,Add experimental scrollCursorIntoView event,Core,src
82752ca5d1e3bac5473de9936d864b58171ab2d8,Bump version number post-3.13,Core,src
71be4dc37ecd08db0314f968d01b1eafb87fc7f7,[match-highlighter addon] Clean up handling of options,Core,src
345114a579c8d207c871bf8e02d3cd9582c85049,Add word char unicode range for Korean characters,Core,src
d07c5471ca649b78366b4c10c3ef698504a454a6,Limit firing of redraws from resize events,Core,src
3a83dccdfa96e2dc90c3129d281525ff41241255,[markdown mode] Be somewhat more restrictive about HTML open tags,Core,src
8c00b06b12fcaaec59b36649fb3a672ef6045a9c,[javascript mode] Improve parsing of TypeScript types,Core,src
cde95c423cd59621b1f7b33a0de04f539fb9888a,Properly take gutter borders and margins into account when sizing gutter markers,Core,src
699c48c9c09999340c11b57ed13044a6c929fa74,Make double-click work again in IE,Core,src
02c569fdf4540365218b81e8cae96f6bf1fcfeb3,Introduce an extra DIV for scrolling,Core,deps
612c6c9b2de394c14eb95459a5e11549912b12cd,Fix windows detection,Core,src
e653b1b87fe9e39b1a0eef3f87d0108d19d02acc,Fix brace indenting for clojure maps.,Core,src
8b8b7b061e441f8409b080ade327cacbc732272c,[xml-fold addon] Add fast-case return to findMatchingTag,Core,src
34867cfa79789fae89e86d95af673b3b651b7a17,prevent line numbers from confusing click-position-detection,Core,src
d920ded71aac00e96b847c7b85b24eb68a831cab,"stop clicks on the scrollbar, so that they do not unfocus the input",Core,src
28c2f3ee0af54db2b62f72fe1a55cd9343167a16,[vim] Clean up and simplify selectCompanionObject a bit,Core,src
1e246293de1653bba7d08e26c85eae812bbbeb78,Bump version number post-5.13.2,Core,src
7b8ed766a8a545a6bedc594a34f466ebe260baf7,[css mode] Recognize SVG properties,Core,src
dff59d6dc2b956c59aef252c09983dc4d7163fdc,[matchbrackets addon] Work around IE7 bug,Core,tools
1108748b77c23696957be341ebbf52100342fa2c,[closetag addon] Fix bug in code that updated the autoCloseTags option,Core,src
50ed255a3b7470ffacc6263f99a96531d364fb19,Integrate OCaml mode,Core,src
7589048c5be1b558b3e48891aa2499be32d918e2,"clean up line replacement, fix corner cases",Core,src
029285fc719aa309542b5a39c1fe21fc8d942162,Make sure viewportChange is fired properly,Core,src
2670b1e1ab3f96b3de37d1c903104f95e3a4c36b,be a little slower to give up polling for changes,Core,src
2c452498c550cffb45ed26fc33fb2be5332cc99a,[vim] Make option aliases for programmatic option API,Core,src
404257d4311970f270c6e93a36124744b2347d46,Clean up VIM,Core,src
54c8517baf789793c64ea4306168f92cf3e6cb70,Make line widget behavior more precisely configurable,Core,src
8336267179ae5e5e4faca4fc2ae7ea1f5d887ed8,Remove byte-order mark from formatting.js,Core,src
fb4eb18b601102a954a5c52e49570f6876fc4155,make sure the editor polls its input directly after being focused,Core,src
