,activity,predicted,predicted2
16a5f874d09cb5a569288189b6c94c0d27aa0a45,grunt update-shrinkwrap,Core,src
66be25917a66a2cdb19a297a1ce7e5642357fc06,Docs,Docs,doc
7711c9d60d0dc7db86ac13b200be856409d1d946,Document Savage cross-browser JS pull request tester bot,Docs,doc
696fc2e53c0664ef04123167c1dcb1d22ae24d18,Add unit test of aria-expanded to dropdown suite,Tests,test
1367f70fbc16af76f1d77161bb8f769ff48c0348,Docs,Docs,doc
652f0565564fcee27a8268208e9119b9e953e4c7,tweak part of license FAQ to reflect Twitter->twbs change,Core,src
faba6808b7713e8ab72ae5f21eedb3736a5b45ea,Merge branch '3.0.0-wip' of github.com,Core,src
7633d4c603d916bb2174dd5a6d4063449088caef,Make predefined grid classes conditional,Core,src
bb8ebe2312e4424a4e40974f0f21dd008064f736,"More subtle grid pattern, adding dropdown arrow, adding dropdown arrow styles to the topbar",Core,src
e9b04acb92538718f60b205909c385222406a84f,Merge pull request #4384 from andriijas/2.1.0-wip-js-typo-fix,Core,src
bc1ba8f08bfa073c1f3f58465812e139f032d177,update readme per comments in pr,Core,src
18be3be3f48d7d813ccc71d4594c836e6dbddb04,grunt,Core,src
b0da97588e3d1e4d7eb688d16b3e40e0a27459f3,fixes #6982,Core,src
faedb7fec47388a02e7eb4afa0e7140bb76aa6be,grunt,Core,src
cac6cfcd845a33334f885a5500ab41252475f566,Merge pull request #15923 from kkirsche/useExplicitVariableDeclaration,Core,src
3524aa909cd0cef16c9d244bd21da0dfd7b48cf9,make sure to pass child var through,Core,src
e0b09867c23b421153f10235ec64d484bac6323d,fix spacing in readme,Core,src
5c76cbea7782bf94cb9f36acc552cf410f2dd4c3,remove now unneeded collapse section,Core,src
40fddffeec58565eac698de0ed5697fde8a46130,improve button docs,Docs,doc
66479d8a5f1e0ed6c120c061af6fad057778942c,Add aria-disabled to disabled link example and description,Core,src
fb1d4a0f04504935eb17d13ac6d1dbb72c70b102,Merge pull request #2267 from dominicbarnes/dl_horizontal,Core,src
4c21146ce32ebdbea691484c49b2dfdd6b8efb78,Merge pull request #13860 from twbs/fixes_13346,Core,src
143fef9f95daca088c1a910fccd07f2b520d8b0b,overhaul the docs and css to merge into 2.1.2 since this was against master,Docs,doc
2d4cf2647ac8b8758647b80b2c21846a72f1054d,Merge pull request #19337 from ameya-pandilwar/fix-19332,Core,src
5f314dcb85b011d30bbe845e00932a9a550d4e71,remove benefits from homepage html,Core,src
bf465da2d9ab63c4232a7499664171731bb252be,more than images tbh,Core,src
8ae625626204c8a63a405a095a74cd457b7796e5,Merge pull request #7866 from marsuboss/patch-3,Core,src
93a7421f2ce63e9185f5ba655a6f720c84ffa746,.btn-default to .btn-secondary,Tests,src
a364d89936b52448c106683bbf7b219530fb055e,Merge pull request #1104 from cgunther/dropdown-docs,Docs,doc
7154e378b241f753491c1aaf4aba310b7f0f179d,use variable for navbar text line-height,Tests,src
12a0d69454a2831031035d19237d36d38bb2c2a9,fix dropdowns in components docs page,Docs,doc
a1b0311597fdf79965044e6cb17c1c1acf08b1b6,document jQuery version requirement; fixes #10355,Docs,doc
46f5a8f478afb2f2089f1fc886d72ecf4d55955c,Merge pull request #15970 from twbs/the-future-is-now-qunit,Core,src
263e06a021c0ea666db71ce65fe1360e7e8e5baf,rearrange scss lint config to put flex over float,Core,src
47e06470866b95cc9c5a2885754a169afd74de39,add unit tests for destroy behavior of popover and tooltip,Tests,test
7ca73b75424606cf4614e808ca0b36eedc03a732,fix margin on .bs-example thumbs,Core,src
5b03c9ad634499ff00a0248602d9f097c3be5e00,[disabled] =>,Core,src
c83a9ddbb9cb096c62d72b4d61a4ee546a4ebb21,Merge pull request #20519 from vanillajonathan/patch-2,Core,src
5b69d3405301ebf9f7047a459f727cbe5f73aedd,use sibling selector instead of pseudo selector,Core,src
c11f41ba04791a0c408071527994dfb22c91a436,flatten buttons and forms,Core,src
9195d8e8eb51208e4272e4c7e0851e2695da1a0d,Follow up to #11655,Core,src
ef8e5853cbfc4f4babacd3527ab3eb0e4b741acc,Fixes #8154,Core,src
7c637bc51c25827fe6fdb54483785ca57f20d681,"Fixes typos of ""bootstrap""",Core,src
fb775bae210138bcd9a2dfe78971b72724331e1d,fix sidenav js,Core,src
cdb25e11ef6f13f095eacbef731cf43902230203,lighter buttons closer to todays versions,Core,src
521ff5c8a7c87b30de3491bfcefe4dd5f49382c4,add nav to media object and thumbnails,Core,src
aff291e1ca998591b6615f6bde3e10e1dae2403b,Add .animation() mixin,Core,src
030a05817451a0c6fbbdc9842570303dbe9a367e,Remove .navbar-inner from navbar tests,Tests,test
3161acd710029b57080d879738b13c91475149d8,build js,Build,build
150ca95b19ddbac917be861ceeddfbe87d3e82d3,unlock & bump grunt-jscs-checker to ~0.4.3,Core,src
8bf48121a0cfeb72f8e1553954327c120a0a4345,Merge pull request #14061 from hnrch02/fix-13656,Core,src
d36c150569c982a24935bfc90e77e7a59986497b,tweak formatting in Carousel docs for clarity; fixes #13522,Docs,doc
d2de00f1dfe6cad9272e8176dce055826caed0bb,Merge branch 'kasperp-tab-event',Core,src
f6271da47bf928700ce2472097069f00a05a2825,"navbar and dropdown fixes, for alignments and for ie7/8 dropdown hidden bugs from #3946",Core,src
96542f14ab64cdf35b56df55752b28b95dc415c7,fixes #4540,Core,src
e1be284d0cd0867ca66ab6a9bd2c5d3e0c2b7a44,Extract $modal-dialog-sm-up-margin-y variable,Core,src
e615ae053c816fa477d158562e20ecaf2609128d,overhaul nav and shit again,Core,src
a139167489e249345933b1e58cc7c53542abab97,"set width to auto for default navbar container, then override it later for fixed navbars (done all via the #gridSystem mixins)",Core,src
59d7772daa8d09e13858ad83701bda767db71fc8,Merge pull request #14488 from vsn4ik/gruntfile_copy_task,Core,src
95655e72754b9450d04108593f60647cf2e2241c,Remove more Glyphicons,Core,src
